图片名称,叶片数,总面积_cm2,叶片面积详情
leaf_01.jpg,7,1096.23,300.99; 173.94; 48.56; 212.98; 160.00; 100.36; 99.42
leaf_02.jpg,7,1024.93,281.42; 185.56; 213.38; 166.75; 42.67; 101.95; 33.20
leaf_03.jpg,5,580.16,36.19; 199.80; 138.47; 73.96; 131.74
leaf_04.jpg,6,868.64,186.02; 184.27; 102.62; 164.74; 44.77; 186.22
leaf_05.jpg,7,696.26,231.09; 131.78; 49.46; 117.28; 72.06; 54.83; 39.77
leaf_06.jpg,6,412.67,126.40; 52.04; 53.46; 20.36; 97.60; 62.81
leaf_07.jpg,5,582.74,223.41; 128.99; 48.41; 113.22; 68.72
leaf_08.jpg,6,405.8,124.80; 50.99; 53.42; 19.68; 93.86; 63.05
leaf_09.jpg,4,299.8,81.28; 120.53; 85.85; 12.14
leaf_10.jpg,4,293.05,77.44; 117.70; 86.01; 11.89
leaf_11.jpg,7,557.25,58.60; 91.05; 134.73; 51.56; 66.81; 23.59; 130.90
leaf_12.jpg,6,280.81,111.84; 42.40; 32.60; 28.04; 45.19; 20.75
leaf_13.jpg,7,720.95,143.83; 60.60; 133.51; 196.21; 131.91; 41.84; 13.05
leaf_14.jpg,6,413.68,79.96; 148.96; 87.62; 27.17; 56.98; 12.99
leaf_15.jpg,6,393.59,31.27; 91.53; 80.15; 7.43; 93.21; 90.00
leaf_16.jpg,6,583.38,118.53; 161.51; 163.41; 104.25; 18.85; 16.84
leaf_17.jpg,5,527.68,195.16; 108.10; 19.74; 57.06; 147.62
leaf_18.jpg,7,556.38,60.72; 87.84; 134.84; 51.90; 67.23; 21.96; 131.89
leaf_19.jpg,6,1010.4,239.36; 157.60; 195.60; 293.19; 88.25; 36.40
leaf_20.jpg,6,770.47,247.84; 174.95; 107.77; 167.81; 32.62; 39.48
leaf_21.jpg,9,820.96,157.75; 139.57; 109.44; 59.22; 52.46; 140.52; 13.43; 100.31; 48.26
leaf_22.jpg,6,768.85,265.40; 169.69; 39.95; 70.75; 123.67; 99.40
